Kernel,TILE_SIZE,REG_M,REG_N,Time_ms
2D,8,1,1,84.4482
2D,8,1,2,152.301
2D,8,1,4,299.554
2D,8,2,1,156.768
2D,8,2,2,261.814
2D,8,2,4,473.124
2D,8,4,1,294.037
2D,8,4,2,518.445
2D,8,4,4,1137.34
2D,16,1,1,64.3687
2D,16,1,2,70.1448
2D,16,1,4,72.9163
2D,16,2,1,57.4102
2D,16,2,2,55.8651
2D,16,2,4,79.9579
2D,16,4,1,51.1837
2D,16,4,2,103.743
2D,16,4,4,202.929
2D,32,1,1,66.4271
2D,32,1,2,63.4084
2D,32,1,4,52.1892
2D,32,2,1,50.846
2D,32,2,2,49.0665
2D,32,2,4,46.5547
2D,32,4,1,42.8684
2D,32,4,2,46.0851
2D,32,4,4,56.9507
Tiled,8,-,-,85.1735
Tiled,16,-,-,64.9942
Tiled,32,-,-,66.1872
Tiled,64,-,-,0.478282
1D,8,1,-,85.1348
1D,8,2,-,157.766
1D,8,4,-,296.542
1D,16,1,-,65.0373
1D,16,2,-,58.2433
1D,16,4,-,51.8274
1D,32,1,-,66.8237
1D,32,2,-,51.4518
1D,32,4,-,43.4962
Vectorized,8,-,-,232.059
Vectorized,16,-,-,126.908
Vectorized,32,-,-,240.107
